materias;
1;electricidad
2;inferencia
3;factores
4;maquinas
5;sistemas de costeo
6;optimizacion
7;simulacion
8;gestion de calidad
9;procesos
10;principios de economia
11;diseño salarial
12;ingepro
13;ingeco
14;epistemologia
15;fe y compromiso
16;logistica de mercados
17;logistica
18;produccion
19;proyecto social
20;etica en la ing
21;admon sistemas de info
22;preparacion evaluacion de proyectos
23;gerencia
24;gestion de la cadena
25;distribucion y transporte
26;proyectos de mercadeo
27;optimizacion de operaciones
28;diseño de experimentos
29;estocasticos
30;teoria de juegos
31;practica 
32;trabajog
33;proyectog
